timestamp,iteration,alpha,alpha_smoothed,alpha_geo,alpha_vel,alpha_dir,error_distance,velocity_magnitude
1772452330.908088,1,0.2892890189027276,0.2892890189027276,0.6592313535604761,1.0,1.0,0.41503174999516557,0.0

1772452330.9060786,2,0.2762895372602076,0.2762895372602076,0.6074411040827289,0.168500807421305,1.0,0.45394369617330393,3.1703173486149274
1772452330.9063861,3,0.41190088950207027,0.41190088950207027,0.6564277851145239,0.5408027942254565,1.0,0.41679423149760536,1.3018151502222803
1772452330.906558,4,0.540649769877146,0.540649769877146,0.6564176424400499,0.6768153246622455,1.0,0.41777998792422855,0.9785732992029642
1772452330.906726,5,0.6580799340550944,0.6580799340550944,0.6604309938416657,0.8633981602465276,1.0,0.4132990294694703,0.5582504136967972
1772452330.906878,6,0.7428575233148955,0.7428575233148955,0.6556408720137208,0.897061392065215,1.0,0.41742850896933226,0.477476258162936
1772452330.9070287,7,0.8048490208385342,0.8048490208385342,0.6548787180378112,0.9318964049424759,1.0,0.418528040080877,0.38277918599327226
1772452330.9071786,8,0.8500908864598196,0.8500908864598196,0.658303060725305,0.9557774712124669,1.0,0.416144778118633,0.302798302499359
1772452330.9073298,9,0.8815473418693491,0.8815473418693491,0.6496748659107029,0.9610825201645224,1.0,0.4219320697043929,0.28391962382984626
1772452330.907482,10,0.9058420175803381,0.9058420175803381,0.6548662378225357,0.9943364364286137,1.0,0.4180014344629522,0.10573987079284689
1772452330.9076352,11,0.92301902311346,0.92301902311346,0.667618206217472,0.9847636325207193,1.0,0.4089455346362553,0.17174674544827778
1772452330.9077873,12,0.9354571510226073,0.9354571510226073,0.664614355139724,0.9956810665095331,1.0,0.41153287482995293,0.09367512744253187
