timestamp,elapsed_time,alpha,alpha_geo,alpha_vel,alpha_alignment
1772463658.085180,0.017728,0.375264,0.276088,0.854804,0.000000
1772463658.087655,0.020203,0.381012,0.276088,0.716087,0.000000
1772463658.099917,0.032465,0.375669,0.276088,0.529178,0.000000
1772463658.112151,0.044699,0.371338,0.276088,0.543911,0.000000
1772463658.125154,0.057702,0.371737,0.288067,0.613448,0.000000
1772463658.137927,0.070475,0.361672,0.276088,0.407395,0.000000
1772463658.149829,0.082377,0.381934,0.276088,0.962113,0.000000
1772463658.162445,0.094994,0.397635,0.276088,0.889532,0.000000
1772463658.175040,0.107589,0.404527,0.288067,0.740362,0.000000
1772463658.187823,0.120371,0.392223,0.288067,0.377972,0.000000
1772463658.199641,0.132189,0.376745,0.276088,0.242539,0.000000
1772463658.212609,0.145157,0.395884,0.276088,0.953940,0.000000
1772463658.225239,0.157787,0.393318,0.276088,0.595304,0.000000
1772463658.237605,0.170153,0.384580,0.276088,0.469092,0.000000
1772463658.249575,0.182124,0.378123,0.276088,0.509956,0.000000
1772463658.262276,0.194824,0.378316,0.276088,0.627679,0.000000
1772463658.275223,0.207771,0.387240,0.276088,0.769543,0.000000
1772463658.287565,0.220113,0.402165,0.288067,0.867985,0.000000
1772463658.300549,0.233097,0.386789,0.288067,0.260311,0.000000
1772463658.313128,0.245676,0.370572,0.276088,0.182111,0.000000
1772463658.325009,0.257557,0.385396,0.276088,0.862898,0.000000
1772463658.337325,0.269873,0.389519,0.288067,0.686171,0.000000
1772463658.350058,0.282607,0.388141,0.288067,0.598560,0.000000
1772463658.362874,0.295422,0.376472,0.276088,0.384384,0.000000
1772463658.375148,0.307696,0.389580,0.276088,0.837790,0.000000
1772463658.387033,0.319582,0.379720,0.276088,0.436994,0.000000
1772463658.399603,0.332151,0.368493,0.276088,0.384989,0.000000
1772463658.412127,0.344676,0.360319,0.276088,0.452863,0.000000
1772463658.425215,0.357764,0.359038,0.276088,0.586523,0.000000
1772463658.437120,0.369668,0.367051,0.276088,0.739358,0.000000
1772463658.449548,0.382097,0.381725,0.276088,0.857045,0.000000
1772463658.462309,0.394857,0.399473,0.276088,0.929675,0.000000
1772463658.474504,0.407053,0.418188,0.276088,0.969858,0.000000
1772463658.487400,0.419948,0.436822,0.276088,0.989932,0.000000
1772463658.499360,0.431908,0.454851,0.276088,0.997952,0.000000
1772463658.512032,0.444580,0.472028,0.276088,0.999168,0.000000
1772463658.524586,0.457135,0.488291,0.276088,0.997796,0.000000
1772463658.536844,0.469393,0.503678,0.276088,0.996235,0.000000
1772463658.549553,0.482101,0.518261,0.276088,0.995389,0.000000
1772463658.562080,0.494628,0.532596,0.288067,0.995468,0.000000
1772463658.574880,0.507428,0.509779,0.276088,0.225040,0.000000
