timestamp,elapsed_time,alpha,alpha_geo,alpha_vel,alpha_alignment
1772464047.400278,0.020171,0.773983,0.291380,0.958693,0.000000
1772464047.400891,0.020784,0.773802,0.294807,0.947284,0.000000
1772464047.412403,0.032296,0.775708,0.294807,0.997688,0.000000
1772464047.425228,0.045121,0.777438,0.294807,0.995606,0.000000
1772464047.437393,0.057286,0.778626,0.294807,0.983942,0.000000
1772464047.449901,0.069794,0.779511,0.294807,0.977900,0.000000
1772464047.461719,0.081612,0.780382,0.294807,0.978625,0.000000
1772464047.474770,0.094663,0.781388,0.294807,0.983075,0.000000
1772464047.487529,0.107422,0.782447,0.291380,0.989124,0.000000
1772464047.500008,0.119901,0.779523,0.291380,0.901448,0.000000
1772464047.512252,0.132145,0.769041,0.291380,0.764895,0.000000
1772464047.524265,0.144158,0.755396,0.294807,0.702105,0.000000
1772464047.537188,0.157081,0.756687,0.294807,0.959748,0.000000
1772464047.549302,0.169195,0.759168,0.294807,0.990426,0.000000
1772464047.562375,0.182268,0.759316,0.294807,0.938067,0.000000
1772464047.574297,0.194190,0.757872,0.294807,0.904571,0.000000
1772464047.587071,0.206964,0.756340,0.294807,0.901310,0.000000
1772464047.599249,0.219142,0.755687,0.294807,0.917806,0.000000
1772464047.612173,0.232066,0.756158,0.294807,0.941378,0.000000
1772464047.624560,0.244453,0.757586,0.294807,0.963863,0.000000
1772464047.637108,0.257001,0.759633,0.294807,0.980613,0.000000
1772464047.650527,0.270420,0.761992,0.294807,0.991086,0.000000
1772464047.661866,0.281760,0.764316,0.291380,0.996643,0.000000
1772464047.674854,0.294747,0.760432,0.294807,0.862082,0.000000
1772464047.686732,0.306625,0.761591,0.294807,0.962560,0.000000
1772464047.699438,0.319331,0.764069,0.294807,0.996693,0.000000
1772464047.711940,0.331833,0.766510,0.294807,0.998965,0.000000
1772464047.724348,0.344241,0.768621,0.294807,0.993545,0.000000
1772464047.736924,0.356817,0.770488,0.294807,0.990002,0.000000
1772464047.749250,0.369143,0.772143,0.291380,0.990392,0.000000
1772464047.761962,0.381855,0.769748,0.294807,0.898306,0.000000
1772464047.774648,0.394542,0.771195,0.291380,0.984238,0.000000
1772464047.786935,0.406828,0.766352,0.291380,0.854204,0.000000
1772464047.799819,0.419713,0.757110,0.291380,0.774412,0.000000
1772464047.811793,0.431686,0.747078,0.294807,0.750559,0.000000
1772464047.824207,0.444100,0.750019,0.294807,0.989906,0.000000
1772464047.837267,0.457160,0.751477,0.294807,0.957383,0.000000
1772464047.849336,0.469229,0.749380,0.294807,0.883816,0.000000
1772464047.862547,0.482440,0.745828,0.294807,0.854420,0.000000
1772464047.874241,0.494134,0.742932,0.294807,0.863266,0.000000
1772464047.888291,0.508184,0.741648,0.294807,0.891358,0.000000
1772464047.899575,0.519468,0.742161,0.294807,0.926958,0.000000
1772464047.911746,0.531639,0.743982,0.294807,0.956692,0.000000
1772464047.924154,0.544047,0.746488,0.291380,0.978576,0.000000
