timestamp,iteration,frame_duration_ms,frame_frequency_hz,K_norm,K_delta_norm,Q_norm,R_norm,input_jump,pinocchio_time_ms,alpha
1772525411.8148468,1,0.7510185241699219,1331.5250793650794,4.299483012479618,0.0,28.86865786970832,2.5023327150975367,0.0,0.02384185791015625,0.98
1772525411.8270338,2,0.7452964782714844,1341.747920665387,54.94083485972138,51.503684875088986,0.29769493466484676,2.5023327150975367,0.0017453291479645992,0.03838539123535156,0.98
1772525411.8390949,3,0.5643367767333984,1771.991550485847,36.307473377319106,19.050766735215632,0.28652670772638894,2.5023327150975367,0.0017453291479645992,0.03838539123535156,0.98
1772525411.8519213,4,0.804901123046875,1242.3886255924172,24.621267498051445,13.538832234871188,0.3050594896625207,2.5023327150975367,0.0,0.03838539123535156,0.98
1772525411.8636642,5,0.44989585876464844,2222.7366189719132,19.811479190144723,8.258929634348222,0.3141774372256308,2.5023327150975367,0.0,0.03838539123535156,0.98
1772525411.8763318,6,0.4634857177734375,2157.5637860082306,18.50050670546288,4.9540837264891895,0.3195555169317089,2.5023327150975367,0.0017453291479645992,0.03838539123535156,0.98
1772525411.8894315,7,0.7092952728271484,1409.8500840336135,17.733834537479247,2.939173614795174,0.30121069212311213,2.5023327150975367,0.001745329668113249,0.03838539123535156,0.98
1772525411.9018958,8,0.7860660552978516,1272.157719138611,16.83301855916917,1.9229689106233399,0.309292151468396,2.5023327150975367,0.001745329668113249,0.03838539123535156,0.98
1772525411.9141445,9,0.8242130279541016,1213.278565229968,16.346847962487633,1.3117320253834235,0.3833786979682863,2.5023327150975367,0.0017453292780017621,0.047206878662109375,0.98
1772525411.9288929,10,0.6961822509765625,1436.4054794520548,16.695331009594632,1.110831696575854,0.36757813378088344,2.5023327150975367,0.0017453291479645992,0.047206878662109375,0.98
1772525411.9405382,11,1.2776851654052734,782.6654226534802,15.752511071170142,1.141512742301307,0.33019111416781405,2.5023327150975367,0.0017453291479645992,0.06794929504394531,0.98
1772525411.9534292,12,1.4641284942626953,683.0001628399284,15.88497142466428,0.5797016619365607,0.326131012997239,2.5023327150975367,0.0,0.06794929504394531,0.98
1772525411.9649618,13,1.340627670288086,745.9192601813978,15.604061507539841,0.4881080170493282,0.32362989498641004,2.5023327150975367,0.0,0.06794929504394531,0.98
1772525411.9774501,14,0.9291172027587891,1076.2904798562997,15.810585663958063,0.433312177058427,0.3224087762260756,2.5023327150975367,0.0,0.06794929504394531,0.98
1772525411.9914558,15,1.766204833984375,566.1857451403888,15.784832037981214,0.3176653570439741,0.32202642169365886,2.5023327150975367,0.0,0.07796287536621094,0.98
