timestamp,iteration,frame_duration_ms,frame_frequency_hz,K_norm,K_delta_norm,Q_norm,R_norm,input_jump,pinocchio_time_ms,alpha,prediction_displacement_norm,innovation_norm,correction_norm
1772533325.776847,1,0.804901123046875,1242.3886255924172,2.5089431618075704,0.0,0.0005510260663632156,0.005669604314093989,0.0,0.047206878662109375,0.04663289888324171,0.0,0.0,0.15692040289293024
1772533325.7887623,2,0.9453296661376953,1057.8320302648171,1.161125856620969,1.3691663578655864,0.0005257430818659976,0.002927035975080028,0.0,0.047206878662109375,0.09093415282232133,5.830449512018786e-07,0.15692098505325663,0.08347333627250446
1772533325.800411,3,0.6504058837890625,1537.5014662756598,0.7692597877587697,0.46094387570759426,0.0005017242988040245,0.00202622938464824,0.0,0.047206878662109375,0.13302034314502964,0.00019026265885619369,0.240583283766483,0.0861993046430923
1772533325.8124177,4,0.4494190216064453,2225.0949602122014,0.6556087748832561,0.2501693341036174,0.00047890651706338145,0.0015917787516190234,0.0,0.047206878662109375,0.17300220906232538,0.0008718169449144856,0.32764654409178007,0.0891077567048617
1772533325.8255777,5,0.6365776062011719,1570.9003745318353,0.6782490346179432,0.1894137317693949,0.0004572297336104142,0.001348802990705824,0.0,0.047206878662109375,0.21098488793143613,0.0025566618938839803,0.4192834619921173,0.09273977400511847
1772533325.8387182,6,0.9284019470214844,1077.1196712891629,0.7555632725497055,0.16340179402844965,0.00043663706329281703,0.0012058439604713436,0.0,0.047206878662109375,0.24706805401593424,0.0055023717938732526,0.5174593465823085,0.0970529749674062
1772533325.8508947,7,0.83160400390625,1202.4954128440368,0.8447735601114201,0.1467765104067489,0.0004170747346483909,0.0011235394542177346,0.0,0.047206878662109375,0.2813459258113765,0.009602721678564293,0.6239924294710869,0.10135680450940407
1772533325.8632185,8,0.6306171417236328,1585.7482041587903,0.9498349566350135,0.15051583943538532,0.00039849214502459034,0.0010817869756436548,0.0,0.047206878662109375,0.31390716943755587,0.01587288140573722,0.7410181159715954,0.10551947893990617
1772533325.8759773,9,0.9927749633789062,1007.2776176753122,1.0578150230522099,0.14921598860535842,0.00038084197202832375,0.0010688882712999754,0.0,0.047206878662109375,0.34483470331574967,0.023537714510122036,0.8697824862214564,0.1083911269550819
1772533325.888911,10,1.5022754669189453,665.6568798603396,1.1641023842139948,0.14540533292327915,0.00036408027488902807,0.0010773160111982242,0.0,0.047206878662109375,0.3742055205055733,0.03259682861156485,1.010391024930088,0.10894497808531217
1772533325.9008255,11,1.1086463928222656,902.0008602150538,1.258085231483723,0.13308604016331657,0.0003481665264843791,0.0011018663492707954,0.0,0.047206878662109375,0.4020906325214529,0.041462299769615116,1.1603555234139045,0.10609863111092867
1772533325.9143124,12,1.3689994812011719,730.4604667363288,1.3632371873366076,0.13791741639277794,0.00033306349080594133,0.001138766229421613,0.0,0.047206878662109375,0.4285552839626996,0.05575310732656504,1.3216614040191594,0.10039342533113557
1772533325.9260912,13,0.9267330169677734,1079.059428865449,1.4306444997857157,0.1065502957633836,0.00031873706885453696,0.0011851909012964349,0.0,0.047206878662109375,0.4536592224502624,0.06076456823313092,1.4822550833772559,0.09047850355570886
1772533325.9390936,14,1.3604164123535156,735.0690501226779,1.493274016375689,0.09787700739290207,0.0003051557838163225,0.0012389739012137197,0.0,0.047206878662109375,0.4774576006379814,0.07144272506814124,1.6435017908793659,0.07814288338724708
1772533325.9522586,15,1.6012191772460938,624.5241215008934,1.5490930250522472,0.08815242158803337,0.0002922903186035765,0.0012984177637497972,0.0,0.047206878662109375,0.5000017864746321,0.08154648128193291,1.802337917068137,0.06394177262733838
1772533325.9648738,16,1.5108585357666016,661.8753353321761,1.5833379304132527,0.07050162788519457,0.0002801129936221659,0.0013621650503936513,0.0,0.047206878662109375,0.5213402782204416,0.08552936620913423,1.9506751887004163,0.04921263628667349
1772533325.9773283,17,1.5921592712402344,628.0778676250375,1.6020660230550123,0.05800353798475174,0.00026859718516797495,0.001429109532431973,0.0,0.047206878662109375,0.5415197235249959,0.08835662959599604,2.086603156517612,0.0352910701767737
1772533325.9888358,18,0.9400844573974609,1063.7342125285315,1.6065598019012721,0.048567143845569066,0.000257716836893613,0.001498334841056066,0.0,0.047206878662109375,0.560585775451239,0.08870629830698816,2.2080518759729206,0.023536671806451706
1772533326.0014474,19,0.9546279907226562,1047.5284715284715,1.615250538913188,0.042668065459552484,0.0002474460816815605,0.0015690722905723604,0.0,0.047206878662109375,0.5785837550683963,0.09431728184367578,2.321589083520229,0.0152439141913089
1772533326.0132782,20,0.6661415100097656,1501.1825340014316,1.607984119032396,0.03748654100073627,0.0002377589711594025,0.0016406720537456624,0.0,0.047206878662109375,0.5955591254567362,0.09082817966311328,2.4186636601468066,0.014581077369915044
1772533326.0277798,21,1.7061233520507812,586.1240916713248,1.6215927217030182,0.03403556859671865,0.00022862931076792989,0.0017125834420465308,0.0,0.047206878662109375,0.6115577807819119,0.10131787419678273,2.515487724379256,0.021455931785567234
1772533326.0391736,22,1.2729167938232422,785.5973028657052,1.5958303759664973,0.03855180965577928,0.00022003047943123857,0.0017843421772652584,0.0,0.047206878662109375,0.6266263623881217,0.08645344798606579,2.5857874593087122,0.02658068913744639
1772533326.0521798,23,1.5411376953125,648.8712871287129,1.5877264484931224,0.025225894586370135,0.00021193558044245057,0.0018555595610465826,0.0,0.047206878662109375,0.6408119945016024,0.09175180330201081,2.654647639633316,0.03295849763276642
1772533326.0635808,24,1.1034011840820312,906.2886776145203,1.5592257555755935,0.03565609498089655,0.00020431742428355228,0.001925915799670766,0.0,0.047206878662109375,0.6541623144675247,0.0816308633499134,2.706068644398858,0.036379759538343714
1772533326.07694,25,1.4312267303466797,698.7013160086624,1.5534164665257824,0.019575281598390806,0.00019714881824096293,0.001995152331789959,0.0,0.047206878662109375,0.6667249653622437,0.08777986493992336,2.759613647801842,0.04144646770448269
1772533326.0889342,26,1.2950897216796875,772.1472754050073,1.5277361771198075,0.030669826852742815,0.00019040254838734725,0.0020630678939604396,0.0,0.047206878662109375,0.6785476277138797,0.07777581857855902,2.7976777921706795,0.043522945247733105
1772533326.1011574,27,1.1668205261230469,857.0298324478954,1.5067767515509398,0.02594323295454853,0.0001840517666658184,0.002129511159241931,0.0,0.047206878662109375,0.6896773412960134,0.07572546275141163,2.831289292726568,0.045332751580472064
1772533326.114011,28,1.2640953063964844,791.0795926065636,1.4927745485786976,0.020196790716935368,0.00017807016277683954,0.002194375392259017,0.0,0.047206878662109375,0.700160204022101,0.07491371845447942,2.8620213582704235,0.047234441265344644
1772533326.1262367,29,1.1801719665527344,847.3341414141414,1.4686616097211558,0.027459544095466693,0.00017243208963855578,0.002257593632052482,0.0,0.047206878662109375,0.7100411521869823,0.06792703499718068,2.8836633978004413,0.04742792408363072
1772533326.139441,30,1.4944076538085938,669.1614550095725,1.4557735943094408,0.018494722557750788,0.00016711287851569524,0.0023191316497640935,0.0,0.047206878662109375,0.7193634082835845,0.06803139423968999,2.905034192499599,0.04827415417310262
1772533326.1509497,31,1.184225082397461,844.434064827864,1.4236321691962237,0.03408809721997895,0.00016208886706119995,0.002378983939912963,0.0,0.047206878662109375,0.7281684319203183,0.058012684203421844,2.9153946441580816,0.046659960316080544
1772533326.164663,32,1.7120838165283203,584.0835538225874,1.4160284421217757,0.015119065146634003,0.00015733778819295615,0.0024371653887014645,0.0,0.047206878662109375,0.7364952383179494,0.061660177277978796,2.9308724780536104,0.047086471708689986
1772533326.1764193,33,1.0461807250976562,955.8577939835916,1.3924715557021512,0.025873861153633076,0.00015283855681640424,0.0024937100533323807,0.0,0.047206878662109375,0.7443807721033556,0.05378784239063595,2.9379421782443247,0.045637984693369965
1772533326.1896496,34,1.6782283782958984,595.8664583037363,1.3749340315251917,0.020624865285381072,0.00014857155205221892,0.002548664106032895,0.0,0.047206878662109375,0.7518594126620661,0.051784717592043096,2.9443473267279496,0.04446182225385854
