2026-02-22 00:46:17 | __main__             | INFO     | ================================================================================
2026-02-22 00:46:17 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-22 00:46:17 | __main__             | INFO     | ================================================================================
2026-02-22 00:46:17 | __main__             | INFO     | 加载系统配置...
2026-02-22 00:46:17 | __main__             | INFO     | 配置加载完成
2026-02-22 00:46:17 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-22 00:46:17 | src.control.vist_controller | INFO     | 运动映射器初始化完成
2026-02-22 00:46:17 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 启用几何解析求解器...
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 几何求解器初始化完成 (trust_weight=2.0)
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | VIST Kalman Filter 初始化完成
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 初始化安全控制器...
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 安全控制器初始化完成
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 初始化坐标变换管理器...
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | 坐标变换管理器初始化完成
2026-02-22 00:46:19 | src.control.vist_controller | INFO     | VIST 控制器初始化完成 - 基础模式（直接控制）
2026-02-22 00:46:19 | __main__             | INFO     | 性能监控器初始化完成
2026-02-22 00:46:19 | __main__             | INFO     | 初始化完成！
2026-02-22 00:47:43 | __main__             | INFO     | ================================================================================
2026-02-22 00:47:43 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-22 00:47:43 | __main__             | INFO     | ================================================================================
2026-02-22 00:47:43 | __main__             | INFO     | 加载系统配置...
2026-02-22 00:47:43 | __main__             | INFO     | 配置加载完成
2026-02-22 00:47:43 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-22 00:47:43 | src.control.vist_controller | INFO     | 运动映射器初始化完成
2026-02-22 00:47:43 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 启用几何解析求解器...
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 几何求解器初始化完成 (trust_weight=2.0)
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | VIST Kalman Filter 初始化完成
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 初始化安全控制器...
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 安全控制器初始化完成
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 初始化坐标变换管理器...
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | 坐标变换管理器初始化完成
2026-02-22 00:47:44 | src.control.vist_controller | INFO     | VIST 控制器初始化完成 - 基础模式（直接控制）
2026-02-22 00:47:44 | __main__             | INFO     | 性能监控器初始化完成
2026-02-22 00:47:44 | __main__             | INFO     | 初始化完成！
2026-02-22 00:49:41 | __main__             | INFO     | ================================================================================
2026-02-22 00:49:41 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-22 00:49:41 | __main__             | INFO     | ================================================================================
2026-02-22 00:49:41 | __main__             | INFO     | 加载系统配置...
2026-02-22 00:49:41 | __main__             | INFO     | 配置加载完成
2026-02-22 00:49:41 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-22 00:49:41 | src.control.vist_controller | INFO     | 运动映射器初始化完成
2026-02-22 00:49:41 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 启用几何解析求解器...
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 几何求解器初始化完成 (trust_weight=2.0)
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | VIST Kalman Filter 初始化完成
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 初始化安全控制器...
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 安全控制器初始化完成
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 初始化坐标变换管理器...
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | 坐标变换管理器初始化完成
2026-02-22 00:49:42 | src.control.vist_controller | INFO     | VIST 控制器初始化完成 - 基础模式（直接控制）
2026-02-22 00:49:42 | __main__             | INFO     | 性能监控器初始化完成
2026-02-22 00:49:42 | __main__             | INFO     | 初始化完成！
2026-02-22 00:50:41 | __main__             | INFO     | 关节使能配置:
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 0: ✅ 使能
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 1: 🔒 锁定
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 2: 🔒 锁定
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 3: 🔒 锁定
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 4: 🔒 锁定
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 5: 🔒 锁定
2026-02-22 00:50:41 | __main__             | INFO     |   Joint 6: 🔒 锁定
2026-02-22 00:50:51 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.527m > 0.517m
2026-02-22 00:50:51 | __main__             | WARNING  | 控制失败: 目标位置超出工作空间 (0.527m > 0.517m)
2026-02-22 00:50:51 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.527m > 0.517m
2026-02-22 00:50:51 | __main__             | WARNING  | 控制失败: 目标位置超出工作空间 (0.527m > 0.517m)
2026-02-22 00:50:51 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.527m > 0.517m
2026-02-22 00:50:51 | __main__             | WARNING  | 控制失败: 目标位置超出工作空间 (0.527m > 0.517m)
2026-02-22 00:50:51 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.524m > 0.517m
2026-02-22 00:50:51 | __main__             | WARNING  | 控制失败: 目标位置超出工作空间 (0.524m > 0.517m)
2026-02-22 00:50:51 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.520m > 0.517m
2026-02-22 00:50:51 | __main__             | WARNING  | 控制失败: 目标位置超出工作空间 (0.520m > 0.517m)
2026-02-22 00:50:51 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.517m > 0.517m
2026-02-22 00:50:51 | __main__             | WARNING  | 控制失败: 目标位置超出工作空间 (0.517m > 0.517m)
2026-02-22 00:51:01 | __main__             | INFO     | 用户中断
2026-02-22 00:51:03 | __main__             | INFO     | 真机控制器已退出
2026-02-22 01:02:36 | __main__             | INFO     | ================================================================================
2026-02-22 01:02:36 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-22 01:02:36 | __main__             | INFO     | ================================================================================
2026-02-22 01:02:36 | __main__             | INFO     | 加载系统配置...
